,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_hi
36,hi,1440779171593015296,803694179079458816, VP जापान में प्राकृतिक भाई और बहनयूएस चीन एक साथ राहत विधेयकआपके लिए धन्यवाद यह काम करता हैशुक्रियासभी के लिए बैंकनोट करेंसी एस्कॉर्ट बनानाआपके प्यार के लिए धन्यवाद‍️‍️,1440963279791087617,False,,2021-09-23T08:56:32.000Z,USA,"@VP जापान में प्राकृतिक भाई और बहन
यूएस-चीन एक साथ राहत विधेयक
आपके लिए धन्यवाद यह काम करता है
शुक्रिया
सभी के लिए बैंकनोट करेंसी एस्कॉर्ट बनाना
आपके प्यार के लिए धन्यवाद🙇‍️🙇‍️",['🙇'],[],['VP'],['https://t.co/1XCmvn6RC1'],, VP जापान में प्राकृतिक भाई और बहनयूएस चीन एक साथ राहत विधेयकआपके लिए धन्यवाद यह काम करता हैशुक्रियासभी के लिए बैंकनोट करेंसी एस्कॉर्ट बनानाआपके प्यार के लिए धन्यवाद‍️‍️
37,en,1440779171593015296,803694179079458816, VP Naturalized brother and sister in JapanUS China Simultaneous Relief BillThanks to you it worksThank youMaking banknote currency escort for everyoneThank you for your love,1440963241576845312,False, VP Naturalized brother and sister in JapanUS China Simultaneous Relief BillThanks to you it worksThank youMaking banknote currency escort for everyoneThank you for your love,2021-09-23T08:56:23.000Z,USA,"@VP Naturalized brother and sister in Japan
US-China Simultaneous Relief Bill
Thanks to you it works
Thank you
Making banknote currency escort for everyone
Thank you for your love🙇‍♀️🙇‍♀️",['🙇\u200d♀️'],[],['VP'],['https://t.co/do4qjSicvj'],,
38,en,1440779171593015296,803694179079458816, scubaemt  sage wolfin  VP Exactly we aren’t test subject’s,1440961838267645957,False, scubaemt  sage wolfin  VP Exactly we aren’t test subject’s,2021-09-23T08:50:48.000Z,USA,@scubaemt @sage_wolfin @VP Exactly we aren’t test subject’s,[],[],"['scubaemt', 'sage_wolfin', 'VP']",[],,
39,en,1440779171593015296,803694179079458816, sage wolfin  VP I don’t want to be a test subject for a poison shot,1440961626778357762,False, sage wolfin  VP I don’t want to be a test subject for a poison shot,2021-09-23T08:49:58.000Z,USA,@sage_wolfin @VP I don’t want to be a test subject for a poison shot,[],[],"['sage_wolfin', 'VP']",[],,
40,en,1440779171593015296,803694179079458816, VP How about you ,1440952426119503877,False, VP How about you ,2021-09-23T08:13:24.000Z,USA,@VP How about you 😋🍆,"['😋', '🍆']",[],['VP'],[],,
41,en,1440779171593015296,803694179079458816, VP And u say its safe  Go see the other 14500 deaths and 1 000 000 adverse reactions…   safe      ,1440949005073137664,False, VP And u say its safe  Go see the other 14500 deaths and 1 000 000 adverse reactions…   safe      ,2021-09-23T07:59:49.000Z,USA,"@VP And u say its safe. Go see the other 14500 deaths and 1,000,000 adverse reactions….. safe??????",[],[],['VP'],[],,
42,en,1440779171593015296,803694179079458816, VP All mids  There are another 14500 vaccine deaths on the CDC”s own website   Vaers  And u are pushing this as safe  Are u insane   ,1440946799020331011,False, VP All mids  There are another 14500 vaccine deaths on the CDC”s own website   Vaers  And u are pushing this as safe  Are u insane   ,2021-09-23T07:51:03.000Z,USA,"@VP All mids. There are another 14500 vaccine deaths on the CDC”s own website , Vaers. And u are pushing this as safe? Are u insane???",[],[],['VP'],[],,
43,en,1440779171593015296,803694179079458816, VP Another 15year old https   t co ypWuubIWwK,1440946533315354625,False, VP Another 15year old https   t co ypWuubIWwK,2021-09-23T07:49:59.000Z,USA,@VP Another 15year old https://t.co/ypWuubIWwK,[],[],['VP'],['https://t.co/ypWuubIWwK'],,
44,en,1440779171593015296,803694179079458816, VP Another 15 year old https   t co OwkOT8i5vb,1440946394185994242,False, VP Another 15 year old https   t co OwkOT8i5vb,2021-09-23T07:49:26.000Z,USA,@VP Another 15 year old https://t.co/OwkOT8i5vb,[],[],['VP'],['https://t.co/OwkOT8i5vb'],,
45,en,1440779171593015296,803694179079458816, VP Another 15 year old https   t co Eg1mmniWYn,1440946277156597763,False, VP Another 15 year old https   t co Eg1mmniWYn,2021-09-23T07:48:58.000Z,USA,@VP Another 15 year old https://t.co/Eg1mmniWYn,[],[],['VP'],['https://t.co/Eg1mmniWYn'],,
46,en,1440779171593015296,803694179079458816, VP Another 13 year old https   t co 7Iu3eYDGas,1440946166208909312,False, VP Another 13 year old https   t co 7Iu3eYDGas,2021-09-23T07:48:32.000Z,USA,@VP Another 13 year old https://t.co/7Iu3eYDGas,[],[],['VP'],['https://t.co/7Iu3eYDGas'],,
47,en,1440685566111232000,803694179079458816, VP  BorisJohnson The border,1441001681764896774,False, VP  BorisJohnson The border,2021-09-23T11:29:08.000Z,USA,@VP @BorisJohnson The border,[],[],"['VP', 'BorisJohnson']",[],,
48,en,1440685566111232000,803694179079458816, VP  BorisJohnson Safe,1440999268756623360,False, VP  BorisJohnson Safe,2021-09-23T11:19:32.000Z,USA,@VP @BorisJohnson Safe,[],[],"['VP', 'BorisJohnson']",[],,
