,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
2543,en,False,1440960085686054914,@GregHuntMP So we don’t have enough #Pfizer in Victoria. WTF ARE YOU DOING? #MorrisonGovernment #MorrisonVaccineCrisis #MorrisonClusterFuk #MorrisonFail #COVIDIOTS #auspol #CovidVic #COVID19,[],"['Pfizer', 'MorrisonGovernment', 'MorrisonVaccineCrisis', 'MorrisonClusterFuk', 'MorrisonFail', 'COVIDIOTS', 'auspol', 'CovidVic', 'COVID19']",['GregHuntMP'],[],USA, GregHuntMP So we don’t have enough  Pfizer in Victoria  WTF ARE YOU DOING   MorrisonGovernment  MorrisonVaccineCrisis  MorrisonClusterFuk  MorrisonFail  COVIDIOTS  auspol  CovidVic  COVID19,2021-09-23 09:00:00
2544,en,False,1440960077561614345,"They've left the West for dead
@VicGovDH have quite on us. 
I guess non of them live out here. 
You can get Pfizer's vaccs out in Oakleigh, but nothing out here, so have to wait for Dolly's doses

#COVID19Vic https://t.co/59Ezmm0HEx",[],['COVID19Vic'],['VicGovDH'],[],USA,They ve left the West for dead VicGovDH have quite on us  I guess non of them live out here  You can get Pfizer s vaccs out in Oakleigh  but nothing out here  so have to wait for Dolly s doses COVID19Vic https   t co 59Ezmm0HEx,2021-09-23 09:00:00
2545,en,False,1440960039284523009,"@lacalaca85 @chrisbilton12 @WalshFreedom @karenhunter Liar. Read the letter. See last paragraph. It Literally only extends the Pfizer EUA. Read it. It’s not the BionTech letter. Note, also the BionTech letter is conditional and not in effect until certain events occur, none of which have. There is no FDA approved vax on the market.",[],[],"['lacalaca85', 'chrisbilton12', 'WalshFreedom', 'karenhunter']",[],USA, lacalaca85  chrisbilton12  WalshFreedom  karenhunter Liar  Read the letter  See last paragraph  It Literally only extends the Pfizer EUA  Read it  It’s not the BionTech letter  Note  also the BionTech letter is conditional and not in effect until certain events occur  none of which have  There is no FDA approved vax on the market ,2021-09-23 09:00:00
2546,en,False,1440960001703661573,"@Stickit2Stage4 @abcdiagnosis @METUPUKorg I have been on Ibrance for over four years, thanks to Pfizer’s compassionate access. My family and I are eternally grateful.",[],[],"['Stickit2Stage4', 'abcdiagnosis', 'METUPUKorg']",[],USA, Stickit2Stage4  abcdiagnosis  METUPUKorg I have been on Ibrance for over four years  thanks to Pfizer’s compassionate access  My family and I are eternally grateful ,2021-09-23 09:00:00
2547,en,False,1440959989577883651,@MJAckermanMDPhD @pfizer Indeed love wins👌,['👌'],[],"['MJAckermanMDPhD', 'pfizer']",[],USA, MJAckermanMDPhD  pfizer Indeed love wins,2021-09-23 09:00:00
2548,en,True,1440959948565925889,AFP: US authorizes #Pfizer booster for elderly and high-risk,[],['Pfizer'],[],[],USA,AFP  US authorizes  Pfizer booster for elderly and high risk,2021-09-23 09:00:00
2549,en,False,1440959879565434882,"@PabloFootball @BenjaminJRawson @Ajarncom Sinovac was what was available at the time. Better than zero vaccinations.

Yes, if they'd planned better, they could have got Pfizer or others, but it is what it is. No vaccine is perfect.",[],[],"['PabloFootball', 'BenjaminJRawson', 'Ajarncom']",[],USA, PabloFootball  BenjaminJRawson  Ajarncom Sinovac was what was available at the time  Better than zero vaccinations Yes  if they d planned better  they could have got Pfizer or others  but it is what it is  No vaccine is perfect ,2021-09-23 09:00:00
2550,en,False,1440959873919774723,@wheats29626153 @trelisemcbain @electravision The AZ is still an mRNA vaccine it just uses the adenovirus as the vector were as the Pfizer/Moderna uses a nanoparticle. But in essence they act the same by using you genetic machinery to replicate the toxic spike protein. Norvax is one vaccine that does not use mRNA coming Nov,[],[],"['wheats29626153', 'trelisemcbain', 'electravision']",[],USA, wheats29626153  trelisemcbain  electravision The AZ is still an mRNA vaccine it just uses the adenovirus as the vector were as the Pfizer Moderna uses a nanoparticle  But in essence they act the same by using you genetic machinery to replicate the toxic spike protein  Norvax is one vaccine that does not use mRNA coming Nov,2021-09-23 09:00:00
2551,en,False,1440959817863024640,"Generic Active Pharmaceutical Ingredients Market Future Prospects 2027 | Pfizer, Inc. (U.S.),Novartis International AG (Switzerland),Sanofi (France),Boehringer Ingelheim (Germany) https://t.co/FbUFxeoA84",[],[],[],['https://t.co/FbUFxeoA84'],USA,Generic Active Pharmaceutical Ingredients Market Future Prospects 2027   Pfizer  Inc   U S   Novartis International AG  Switzerland  Sanofi  France  Boehringer Ingelheim  Germany  https   t co FbUFxeoA84,2021-09-23 09:00:00
2552,en,False,1440959795511676939,"FDA approved a ""Comirnaty"" vaccine which is not in production in the US but recommended the continuation of the Pfizer-BioNTech which is still under Emergency Use Authorization. 

FDA's approval of Pfizer is a fraud!

https://t.co/SlAtiYff80",[],[],[],['https://t.co/SlAtiYff80'],USA,FDA approved a  Comirnaty  vaccine which is not in production in the US but recommended the continuation of the Pfizer BioNTech which is still under Emergency Use Authorization  FDA s approval of Pfizer is a fraud https   t co SlAtiYff80,2021-09-23 09:00:00
