,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
521,en,POTUS,1349149096909668363,True,1408836709408706565,"It was an honor to welcome President Ghani and Chairman Abdullah to the White House this afternoon.

We will continue to provide assistance through our enduring partnership with Afghanistan to promote a peaceful and stable future that the Afghan people want and deserve. https://t.co/EU2jJYUrQD",[],[],[],[],USA,It was an honor to welcome President Ghani and Chairman Abdullah to the White House this afternoon We will continue to provide assistance through our enduring partnership with Afghanistan to promote a peaceful and stable future that the Afghan people want and deserve  https   t co EU2jJYUrQD,2021-06-26 17:00:00
522,en,POTUS,1349149096909668363,True,1408806012635824132,"Yesterday, I signed a law designating the Pulse Nightclub a national memorial. Just over five years ago, the nightclub -- a place of acceptance and joy -- became a place of unspeakable pain and loss. We will never fully recover, but we will always remember. https://t.co/ncX2MoBAxy",[],[],[],[],USA,Yesterday  I signed a law designating the Pulse Nightclub a national memorial  Just over five years ago  the nightclub    a place of acceptance and joy    became a place of unspeakable pain and loss  We will never fully recover  but we will always remember  https   t co ncX2MoBAxy,2021-06-26 15:00:00
523,en,POTUS,1349149096909668363,True,1408788111585337344,We’ve made incredible progress in the fight against COVID-19. We can finish this thing. Hear from Dr. Murthy and Natalie Quillian about how getting vaccinated is the key to bringing an end to this pandemic. https://t.co/HpOhuydwFs,[],[],[],[],USA,We’ve made incredible progress in the fight against COVID 19  We can finish this thing  Hear from Dr  Murthy and Natalie Quillian about how getting vaccinated is the key to bringing an end to this pandemic  https   t co HpOhuydwFs,2021-06-26 14:00:00
524,en,POTUS,1349149096909668363,True,1408498701501358082,"So far this year, hundreds of anti-LGBTQ bills have been introduced in state legislatures – many of them target transgender children. 
 
Let’s be clear: This is bullying against kids disguised as legislation – and it must stop. Enough is enough.",[],[],[],[],USA,So far this year  hundreds of anti LGBTQ bills have been introduced in state legislatures – many of them target transgender children   Let’s be clear  This is bullying against kids disguised as legislation – and it must stop  Enough is enough ,2021-06-25 19:00:00
525,en,POTUS,1349149096909668363,True,1408484701153763332,Tune in as we commemorate LGBTQ+ Pride Month at the White House.  https://t.co/PhOC6KXuUC,[],[],[],['https://t.co/PhOC6KXuUC'],USA,Tune in as we commemorate LGBTQ  Pride Month at the White House   https   t co PhOC6KXuUC,2021-06-25 18:00:00
526,en,POTUS,1349149096909668363,True,1408457960024690690,"I look forward to hosting President Ghani and Chairman Abdullah at the White House this afternoon. As the U.S. military drawdown continues, we affirm our enduring support for the Afghan people.",[],[],[],[],USA,I look forward to hosting President Ghani and Chairman Abdullah at the White House this afternoon  As the U S  military drawdown continues  we affirm our enduring support for the Afghan people ,2021-06-25 16:00:00
527,en,POTUS,1349149096909668363,True,1408445146874662918,"Folks, this Bipartisan Infrastructure Framework is a big deal for American workers and families. Here’s just some of what’s in it. https://t.co/5cyYskyxHn",[],[],[],[],USA,Folks  this Bipartisan Infrastructure Framework is a big deal for American workers and families  Here’s just some of what’s in it  https   t co 5cyYskyxHn,2021-06-25 15:00:00
528,en,POTUS,1349149096909668363,True,1408411860592992262,"The Bipartisan Infrastructure Framework will provide folks with good-paying jobs that can’t be outsourced — the kind of jobs that provide a middle-class life with a little breathing room.

And we’re going to do it all without raising a cent from earners below $400,000.",[],[],[],[],USA,The Bipartisan Infrastructure Framework will provide folks with good paying jobs that can’t be outsourced — the kind of jobs that provide a middle class life with a little breathing room And we’re going to do it all without raising a cent from earners below  400 000 ,2021-06-25 13:00:00
529,en,POTUS,1349149096909668363,True,1408226285298520064,"Together, we’ve forged an agreement that will create millions of American jobs modernizing our nation’s infrastructure. Hear more from Press Secretary Jen Psaki here. https://t.co/QwhGPykcmM",[],[],[],[],USA,Together  we’ve forged an agreement that will create millions of American jobs modernizing our nation’s infrastructure  Hear more from Press Secretary Jen Psaki here  https   t co QwhGPykcmM,2021-06-25 01:00:00
530,en,POTUS,1349149096909668363,True,1408199097065033730,"We need physical infrastructure.
We need human infrastructure.
And we need a fairer tax system to pay for all of it.

I am not going to rest until all of it gets to my desk.",[],[],[],[],USA,We need physical infrastructure We need human infrastructure And we need a fairer tax system to pay for all of it I am not going to rest until all of it gets to my desk ,2021-06-24 23:00:00
531,en,POTUS,1349149096909668363,True,1408174278906949639,Tune in as I encourage folks to get vaccinated and kick off a community canvassing event. https://t.co/QNCnO418Xb,[],[],[],['https://t.co/QNCnO418Xb'],USA,Tune in as I encourage folks to get vaccinated and kick off a community canvassing event  https   t co QNCnO418Xb,2021-06-24 21:00:00
532,en,POTUS,1349149096909668363,True,1408159059426037769,"I’m in Raleigh, North Carolina this afternoon to encourage people to get vaccinated. Getting your shot is more convenient than ever — and it’s the best way to keep yourself and your loved ones safe. Head to https://t.co/4MYpWqXVVo and get protected today.",[],[],[],['https://t.co/4MYpWqXVVo'],USA,I’m in Raleigh  North Carolina this afternoon to encourage people to get vaccinated  Getting your shot is more convenient than ever — and it’s the best way to keep yourself and your loved ones safe  Head to https   t co 4MYpWqXVVo and get protected today ,2021-06-24 20:00:00
533,en,POTUS,1349149096909668363,True,1408127030747709441,"This deal makes key investments to put people to work in good-paying jobs building transmission lines and upgrading our power grid, installing electric vehicle charging stations, and undertaking critical environmental clean-ups.",[],[],[],[],USA,This deal makes key investments to put people to work in good paying jobs building transmission lines and upgrading our power grid  installing electric vehicle charging stations  and undertaking critical environmental clean ups ,2021-06-24 18:00:00
534,en,POTUS,1349149096909668363,True,1408125850919313409,This bipartisan agreement represents the largest investment in public transit in American history. The largest investment in rail since the creation of Amtrak. It will deliver high speed internet to every American home and replace 100% of our nation’s lead pipes.,[],[],[],[],USA,This bipartisan agreement represents the largest investment in public transit in American history  The largest investment in rail since the creation of Amtrak  It will deliver high speed internet to every American home and replace 100  of our nation’s lead pipes ,2021-06-24 18:00:00
535,en,POTUS,1349149096909668363,True,1408124323035074565,"I’ve said many times before: that there is nothing we can’t do when we come together as one nation.

Today’s bipartisan infrastructure framework is the latest example of that truth.",[],[],[],[],USA,I’ve said many times before  that there is nothing we can’t do when we come together as one nation Today’s bipartisan infrastructure framework is the latest example of that truth ,2021-06-24 18:00:00
536,en,POTUS,1349149096909668363,True,1408123578202066950,Tune in as I give an update on our infrastructure deal. https://t.co/8bDxIbIEtN,[],[],[],['https://t.co/8bDxIbIEtN'],USA,Tune in as I give an update on our infrastructure deal  https   t co 8bDxIbIEtN,2021-06-24 18:00:00
537,en,POTUS,1349149096909668363,True,1408103224817639432,We’ve struck a deal. A group of senators – five Democrats and five Republicans – has come together and forged an infrastructure agreement that will create millions of American jobs.,[],[],[],[],USA,We’ve struck a deal  A group of senators – five Democrats and five Republicans – has come together and forged an infrastructure agreement that will create millions of American jobs ,2021-06-24 17:00:00
538,en,POTUS,1349149096909668363,True,1408034982556274688,"Here’s the deal: The Delta variant is more contagious, it’s deadlier, and it’s spreading quickly around the world – leaving young, unvaccinated people more vulnerable than ever. Please, get vaccinated if you haven’t already. Let’s head off this strain before it’s too late. https://t.co/9gBeRpvCe8",[],[],[],[],USA,Here’s the deal  The Delta variant is more contagious  it’s deadlier  and it’s spreading quickly around the world – leaving young  unvaccinated people more vulnerable than ever  Please  get vaccinated if you haven’t already  Let’s head off this strain before it’s too late  https   t co 9gBeRpvCe8,2021-06-24 12:00:00
539,en,POTUS,1349149096909668363,True,1407826558035927042,"To combat gun violence and violent crime, we’re going to: 
 
- Stem the flow of firearms 
- Advance community policing
- Invest in evidence-based community violence interventions
- Expand summer programming and employment opportunities",['xp'],[],[],[],USA,To combat gun violence and violent crime  we’re going to     Stem the flow of firearms   Advance community policing  Invest in evidence based community violence interventions  Eand summer programming and employment opportunities,2021-06-23 22:00:00
540,en,POTUS,1349149096909668363,True,1407812132037664768,The fact is we’ve seen a surge in gun violence across the country since the beginning of the pandemic. It’s unacceptable — and we’ve got to take action to combat it. That’s why we’re announcing a comprehensive approach to prevent and respond to gun crime and ensure public safety.,[],[],[],[],USA,The fact is we’ve seen a surge in gun violence across the country since the beginning of the pandemic  It’s unacceptable — and we’ve got to take action to combat it  That’s why we’re announcing a comprehensive approach to prevent and respond to gun crime and ensure public safety ,2021-06-23 21:00:00
541,en,POTUS,1349149096909668363,True,1407804658425470988,Tune in as Attorney General Merrick Garland and I deliver remarks on the Administration’s comprehensive gun crime prevention strategy. https://t.co/Kz3e59NJSB,[],[],[],['https://t.co/Kz3e59NJSB'],USA,Tune in as Attorney General Merrick Garland and I deliver remarks on the Administration’s comprehensive gun crime prevention strategy  https   t co Kz3e59NJSB,2021-06-23 21:00:00
542,en,POTUS,1349149096909668363,True,1407506870181453824,"To Carl Nassib and Kumi Yokoyama – two prominent, inspiring athletes who came out this week: I’m so proud of your courage. Because of you, countless kids around the world are seeing themselves in a new light today.",[],[],[],[],USA,To Carl Nassib and Kumi Yokoyama – two prominent  inspiring athletes who came out this week  I’m so proud of your courage  Because of you  countless kids around the world are seeing themselves in a new light today ,2021-06-23 01:00:00
543,en,POTUS,1349149096909668363,True,1407463658242908162,"The United States ranks 13th in the world when it comes to infrastructure — and it’s time for that to change.
 
With the American Jobs Plan, we’re going to modernize our roads, rebuild crumbling bridges, expand public transportation, and create millions of good-paying jobs.",['xp'],[],[],[],USA,The United States ranks 13th in the world when it comes to infrastructure — and it’s time for that to change  With the American Jobs Plan  we’re going to modernize our roads  rebuild crumbling bridges  eand public transportation  and create millions of good paying jobs ,2021-06-22 22:00:00
