,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
38,en,1440295929983078402,1349149096909668363, POTUS 3 years ago  Lowest minority unemployment  Lowest unemployment  wages increasing at an unprecedented rate     So how you going to build back better  that was better than it ever was before you ,1440753838600847360,False, POTUS 3 years ago  Lowest minority unemployment  Lowest unemployment  wages increasing at an unprecedented rate     So how you going to build back better  that was better than it ever was before you ,2021-09-22T19:04:17.000Z,USA,"@POTUS 3 years ago; Lowest minority unemployment, Lowest unemployment, wages increasing at an unprecedented rate...  So how you going to build back better, that was better than it ever was before you?",[],[],['POTUS'],['https://t.co/5KE19WoOLw']
39,en,1440295929983078402,1349149096909668363, POTUS What the CDC gave us   nothing https   t co IgQgGvmYev,1440745492174962688,False, POTUS What the CDC gave us   nothing https   t co IgQgGvmYev,2021-09-22T18:31:07.000Z,USA,@POTUS What the CDC gave us . nothing https://t.co/IgQgGvmYev,[],[],['POTUS'],[]
40,en,1439991267727925251,1349149096909668363, Jer050665  The1OnlyRichie  POTUS Don t really care  As long as Trump is his opponent   BIDEN has my full support   Put up a candidate who is willing to work for America and not just his base  The Republicans might have a chance of getting my vote again ,1440985025349136385,False, Jer050665  The1OnlyRichie  POTUS Don t really care  As long as Trump is his opponent   BIDEN has my full support   Put up a candidate who is willing to work for America and not just his base  The Republicans might have a chance of getting my vote again ,2021-09-23T10:22:56.000Z,USA,@Jer050665 @The1OnlyRichie @POTUS Don't really care. As long as Trump is his opponent.  BIDEN has my full support.  Put up a candidate who is willing to work for America and not just his base. The Republicans might have a chance of getting my vote again.,[],[],"['Jer050665', 'The1OnlyRichie', 'POTUS']",['https://t.co/NEwLY9hcgt']
41,en,1439991267727925251,1349149096909668363, Jer050665  The1OnlyRichie  POTUS  I voted nothing but republican up until 2016  My loyalty is to America   Not a political party   The only ones showing regret for Biden being president are trumpkins  Everyone else is happy we have a president for ALL Americans   Not one who only caters to his followers ,1440984694540152833,False, Jer050665  The1OnlyRichie  POTUS  I voted nothing but republican up until 2016  My loyalty is to America   Not a political party   The only ones showing regret for Biden being president are trumpkins  Everyone else is happy we have a president for ALL Americans   Not one who only caters to his followers ,2021-09-23T10:21:38.000Z,USA,@Jer050665 @The1OnlyRichie @POTUS 🤣🤣🤣 I voted nothing but republican up until 2016. My loyalty is to America.  Not a political party.  The only ones showing regret for Biden being president are trumpkins. Everyone else is happy we have a president for ALL Americans.  Not one who only caters to his followers.,['🤣'],[],"['Jer050665', 'The1OnlyRichie', 'POTUS']",['https://t.co/p7yTu2PnpI']
42,en,1439991267727925251,1349149096909668363, POTUS Go to a college football game on Saturday,1440983301548818436,False, POTUS Go to a college football game on Saturday,2021-09-23T10:16:05.000Z,USA,@POTUS Go to a college football game on Saturday,[],[],['POTUS'],[]
43,en,1439991267727925251,1349149096909668363, JTharen  OffDclock  POTUS Good counter and pointless argument ,1440934127830806528,False, JTharen  OffDclock  POTUS Good counter and pointless argument ,2021-09-23T07:00:41.000Z,USA,@JTharen @OffDclock @POTUS Good counter and pointless argument.,[],[],"['JTharen', 'OffDclock', 'POTUS']",[]
44,en,1439991267727925251,1349149096909668363, DiahWinters  jwhales27  POTUS Now you listen to me   TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP,1440926565035126787,False, DiahWinters  jwhales27  POTUS Now you listen to me   TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP,2021-09-23T06:30:38.000Z,USA,@DiahWinters @jwhales27 @POTUS Now you listen to me!  TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP,[],[],"['DiahWinters', 'jwhales27', 'POTUS']",['https://t.co/GU9H1Jt46S']
45,en,1439991267727925251,1349149096909668363, DrMikeDean3  POTUS Yep   took that photo in Korea   whereas yours shows up in a random page  Look familiar  Hmmmhttps   t co 5IPKEgCE4n,1440915479095177218,False, DrMikeDean3  POTUS Yep   took that photo in Korea   whereas yours shows up in a random page  Look familiar  Hmmmhttps   t co 5IPKEgCE4n,2021-09-23T05:46:35.000Z,USA,"@DrMikeDean3 @POTUS Yep...took that photo in Korea...whereas yours shows up in a random page. Look familiar? Hmmm

https://t.co/5IPKEgCE4n",[],[],"['DrMikeDean3', 'POTUS']",['https://t.co/5IPKEgCE4n']
46,en,1439991267727925251,1349149096909668363, POTUS Meanwhile 100s of Americans are stranded in Afghanistan because you abandoned them ,1440885798245736449,False, POTUS Meanwhile 100s of Americans are stranded in Afghanistan because you abandoned them ,2021-09-23T03:48:39.000Z,USA,@POTUS Meanwhile 100s of Americans are stranded in Afghanistan because you abandoned them.,[],[],['POTUS'],[]
47,en,1439991267727925251,1349149096909668363, Smokelifematter  The1OnlyRichie  POTUS Look up what Judge Joe Brown heard Biden say to a senator  The list goes way back and its long ,1440854712006307842,False, Smokelifematter  The1OnlyRichie  POTUS Look up what Judge Joe Brown heard Biden say to a senator  The list goes way back and its long ,2021-09-23T01:45:07.000Z,USA,@Smokelifematter @The1OnlyRichie @POTUS Look up what Judge Joe Brown heard Biden say to a senator. The list goes way back and its long.,[],[],"['Smokelifematter', 'The1OnlyRichie', 'POTUS']",[]
