,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi,text_es
214,en,1441075098623123462,1303739428393947137, fba bets Napoli to win  amp  btts was enhanced odds 4 50 at WH  Would have sent you earlier but only seen your tweet right when I commented ,1441078773202493441,False, fba bets Napoli to win  amp  btts was enhanced odds 4 50 at WH  Would have sent you earlier but only seen your tweet right when I commented ,2021-09-23T16:35:28.000Z,USA,@fba_bets Napoli to win &amp; btts was enhanced odds 4.50 at WH. Would have sent you earlier but only seen your tweet right when I commented 😕,['😕'],[],['fba_bets'],[],,
215,en,1441075098623123462,1303739428393947137, fba bets I need to pay more attention to bet365 specials ngl  Thanks a lot for prompt response ,1441078370305986567,False, fba bets I need to pay more attention to bet365 specials ngl  Thanks a lot for prompt response ,2021-09-23T16:33:52.000Z,USA,@fba_bets I need to pay more attention to bet365 specials ngl. Thanks a lot for prompt response ☺️,['☺️'],[],['fba_bets'],[],,
216,en,1441075098623123462,1303739428393947137, pkbetting Hopefully pays off ,1441077962799927299,False, pkbetting Hopefully pays off ,2021-09-23T16:32:14.000Z,USA,@pkbetting Hopefully pays off 🤞🏻,['🤞🏻'],[],['pkbetting'],[],,
217,en,1441075098623123462,1303739428393947137, fba bets Thanks bro you’re a star  Placed  fingers crossed ,1441077854029193217,False, fba bets Thanks bro you’re a star  Placed  fingers crossed ,2021-09-23T16:31:48.000Z,USA,@fba_bets Thanks bro you’re a star. Placed 😎😉 fingers crossed 🤞,"['🤞', '😎', '😉']",[],['fba_bets'],[],,
218,en,1441075098623123462,1303739428393947137, pkbetting Don’t go on the inplay part of the game  Under specials mate,1441077060961591301,False, pkbetting Don’t go on the inplay part of the game  Under specials mate,2021-09-23T16:28:39.000Z,USA,@pkbetting Don’t go on the inplay part of the game. Under specials mate,[],[],['pkbetting'],[],,
219,en,1441075098623123462,1303739428393947137, fba bets Can’t see this market,1441076013245493250,False, fba bets Can’t see this market,2021-09-23T16:24:30.000Z,USA,@fba_bets Can’t see this market,[],[],['fba_bets'],[],,
220,en,1441074959204425729,9542972,Read more at  https   t co 0APp9UNAAW,1441075031279292418,True,Read more at  https   t co 0APp9UNAAW,2021-09-23T16:20:35.000Z,USA,Read more at: https://t.co/0APp9UNAAW,[],[],[],['https://t.co/0APp9UNAAW'],,
221,en,1441074959204425729,9542972,The FDA authorized booster doses for Americans who are 65 and older  younger people with underlying health conditions and those in jobs that put them at high risk for COVID 19  However  more regulatory hurdles lie ahead before the dispensing of boosters can begin ,1441074998312013824,True,The FDA authorized booster doses for Americans who are 65 and older  younger people with underlying health conditions and those in jobs that put them at high risk for COVID 19  However  more regulatory hurdles lie ahead before the dispensing of boosters can begin ,2021-09-23T16:20:28.000Z,USA,"The FDA authorized booster doses for Americans who are 65 and older, younger people with underlying health conditions and those in jobs that put them at high-risk for COVID-19. However, more regulatory hurdles lie ahead before the dispensing of boosters can begin.",[],[],[],['https://t.co/ux5ZCkFUCG'],,
222,en,1441074908339920897,91478624, Forbes I have an idea  80  increase in shear capacity of concrete slab using ECC concrete with a thickness of 3 cm  I wanted to know who is interested in investing in this idea  the prototype is built and tested If you know someone who is investing in ideas please introduce me to them ,1441075769728438281,False, Forbes I have an idea  80  increase in shear capacity of concrete slab using ECC concrete with a thickness of 3 cm  I wanted to know who is interested in investing in this idea  the prototype is built and tested If you know someone who is investing in ideas please introduce me to them ,2021-09-23T16:23:32.000Z,USA,"@Forbes I have an idea. 80% increase in shear capacity of concrete slab using ECC concrete with a thickness of 3 cm. I wanted to know who is interested in investing in this idea? the prototype is built and tested(If you know someone who is investing in ideas,please introduce me to them)",[],[],['Forbes'],['https://t.co/VDk0gTWvNQ'],,
223,en,1441074908339920897,91478624, Forbes They want to get rid of senior citizens as soon as possible  It s bill gates vision to depopulate by 2050 to a large extent ,1441075537091379209,False, Forbes They want to get rid of senior citizens as soon as possible  It s bill gates vision to depopulate by 2050 to a large extent ,2021-09-23T16:22:36.000Z,USA,@Forbes They want to get rid of senior citizens as soon as possible. It's bill gates vision to depopulate by 2050 to a large extent.,[],[],['Forbes'],[],,
224,en,1441074908339920897,91478624, Forbes For all those who are new to this working from home Bitcoin trading options Here s a little tip Get a trusted Bitcoin eert and stick to her  earn with Jens1Invest and play at similar times each day Because  In times of chaos  your investment is your anchor to success,1441075211919523840,False, Forbes For all those who are new to this working from home Bitcoin trading options Here s a little tip Get a trusted Bitcoin eert and stick to her  earn with Jens1Invest and play at similar times each day Because  In times of chaos  your investment is your anchor to success,2021-09-23T16:21:19.000Z,USA,"@Forbes For all those who are new to this working from home Bitcoin trading options 

Here's a little tip:

Get a trusted Bitcoin expert and stick to her @earn_with_Jens1

Invest and play at similar times each day.
Because :
In times of chaos, your investment is your anchor to success",['xp'],[],['Forbes'],['https://t.co/mqLe2EC8ia'],,
225,en,1441074854707355654,1222174051587641345, Cheeku218 Eected twitt ,1441077740141113345,False, Cheeku218 Eected twitt ,2021-09-23T16:31:21.000Z,USA,@Cheeku218 Expected twitt 😂😂,"['😂', 'xp']",[],['Cheeku218'],[],,
226,en,1441074854707355654,1222174051587641345, Virat Mamta  Cheeku218 Han saw this,1441077729701466116,False, Virat Mamta  Cheeku218 Han saw this,2021-09-23T16:31:19.000Z,USA,@Virat_Mamta @Cheeku218 Han saw this,[],[],"['Virat_Mamta', 'Cheeku218']",[],,
227,en,1441074854707355654,1222174051587641345, Cheeku218 thalaseque,1441075438676156426,False, Cheeku218 thalaseque,2021-09-23T16:22:13.000Z,USA,@Cheeku218 thalaseque,[],[],['Cheeku218'],[],,
228,en,1441074854707355654,1222174051587641345, Cheeku218 Bro   don t do this ,1441075250632945676,False, Cheeku218 Bro   don t do this ,2021-09-23T16:21:28.000Z,USA,"@Cheeku218 Bro , don't do this 💀😭","['😭', '💀']",[],['Cheeku218'],[],,
229,en,1441074845266034693,111911630, MichyUK Such a stunning section to walk  Love these photos   thanks for sharing  ,1441078030500122632,False, MichyUK Such a stunning section to walk  Love these photos   thanks for sharing  ,2021-09-23T16:32:31.000Z,USA,@MichyUK Such a stunning section to walk! Love these photos - thanks for sharing! 😍,['😍'],[],['MichyUK'],[],,
230,en,1441074845266034693,111911630, RamblersGB Walking to the Coastguard Cottages from Seaford Head in Sussex with views of the Seven Sisters cliffs is one of my favourites  https   t co DYQkIEgv2V,1441077602731560960,False, RamblersGB Walking to the Coastguard Cottages from Seaford Head in Sussex with views of the Seven Sisters cliffs is one of my favourites  https   t co DYQkIEgv2V,2021-09-23T16:30:49.000Z,USA,@RamblersGB Walking to the Coastguard Cottages from Seaford Head in Sussex with views of the Seven Sisters cliffs is one of my favourites ❤️ https://t.co/DYQkIEgv2V,['❤️'],[],['RamblersGB'],['https://t.co/yX6QAPhOka'],,
231,en,1441074845266034693,111911630,Our network of footpaths didn’t happen by accident  and we’ll continue to do what it takes to protect and improve them    As lockdown ends  the government is passing laws in England that will shape  AccesstoNature for generations   Sign our petition  https   t co rSfwW2BKlX,1441074854615293953,False,Our network of footpaths didn’t happen by accident  and we’ll continue to do what it takes to protect and improve them    As lockdown ends  the government is passing laws in England that will shape  AccesstoNature for generations   Sign our petition  https   t co rSfwW2BKlX,2021-09-23T16:19:53.000Z,USA,"Our network of footpaths didn’t happen by accident, and we’ll continue to do what it takes to protect and improve them.  
 
As lockdown ends, the government is passing laws in England that will shape #AccesstoNature for generations. 
 
Sign our petition: https://t.co/rSfwW2BKlX",[],[],[],['https://t.co/KkpTJN9KSE'],,
