,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_hi
635,en,nsitharaman,58243368,True,1242346191519531008,"Even as we are readying an economic package to help us through the Corona lockdown (on priority, to be announced soon) I will address the media at 2pm today, specifically on statutory and regulatory compliance matters. Via video conference. @FinMinIndia @PIB_India @ANI @PTI_News",[],[],"['FinMinIndia', 'PIB_India', 'ANI', 'PTI_News']",[],India,Even as we are readying an economic package to help us through the Corona lockdown  on priority  to be announced soon  I will address the media at 2pm today  specifically on statutory and regulatory compliance matters  Via video conference   FinMinIndia  PIB India  ANI  PTI News,2020-03-24 07:00:00,
636,en,nsitharaman,58243368,True,1242118470893895680,"Congratulations @ChouhanShivraj on being sworn in again as CM of Madhya Pradesh. 
I am sure that Madhya Pradesh will have good administration, welfare of the people and development for all. https://t.co/Jpq1yYcrYU",[],[],['ChouhanShivraj'],['https://t.co/Jpq1yYcrYU'],India,Congratulations  ChouhanShivraj on being sworn in again as CM of Madhya Pradesh  I am sure that Madhya Pradesh will have good administration  welfare of the people and development for all  https   t co Jpq1yYcrYU,2020-03-23 16:00:00,
637,en,nsitharaman,58243368,True,1241940690281480193,"FAQ on #COVID19 and diabetes by Dr. Nikhil Tandon, AIIMS, New Delhi. Timely and useful. 
https://t.co/5xriL6I8hL",[],['COVID19'],[],['https://t.co/5xriL6I8hL'],India,FAQ on  COVID19 and diabetes by Dr  Nikhil Tandon  AIIMS  New Delhi  Timely and useful  https   t co 5xriL6I8hL,2020-03-23 04:00:00,
638,en,nsitharaman,58243368,True,1241694517226385408,"Expressed gratitude to all  #essentialservices: doctors, nurses, paramedics, swacchta personnel, drivers, delivery riders, police, media, banks, postal/courier services, for standing by the nation at this time of #CoronavirusPandemic #JantaCurfew https://t.co/APcGJ1Ofr1",['xp'],"['essentialservices', 'CoronavirusPandemic', 'JantaCurfew']",[],[],India,Eressed gratitude to all   essentialservices  doctors  nurses  paramedics  swacchta personnel  drivers  delivery riders  police  media  banks  postal courier services  for standing by the nation at this time of  CoronavirusPandemic  JantaCurfew https   t co APcGJ1Ofr1,2020-03-22 12:00:00,
639,en,nsitharaman,58243368,True,1241629916858220544,Thanks Indian Banks Association for this timely appeal. #JantaCurfew. #essentialservices 👏 https://t.co/tDhTLL8Pvj,['👏'],"['JantaCurfew', 'essentialservices']",[],[],India,Thanks Indian Banks Association for this timely appeal   JantaCurfew   essentialservices  https   t co tDhTLL8Pvj,2020-03-22 08:00:00,
640,en,nsitharaman,58243368,True,1241552211487780864,"Abiding by @PMOIndia @narendramodi’s call for #JantaCurfew let’s stay indoors.
Only by collective action can we contain the virus. #IndiaFightsCorona",[],"['JantaCurfew', 'IndiaFightsCorona']","['PMOIndia', 'narendramodi']",[],India,Abiding by  PMOIndia  narendramodi’s call for  JantaCurfew let’s stay indoors Only by collective action can we contain the virus   IndiaFightsCorona,2020-03-22 02:00:00,
641,en,nsitharaman,58243368,True,1240673854508257284,"As @PMOIndia invites citizen-participation in the fight against Corona Virus in India, I shall on remain indoors entirely on 22nd March for the #JanataCurfew — thinking of all our essential service providers working tirelessly during this trying phase. 🙏🏽",['🙏🏽'],['JanataCurfew'],['PMOIndia'],[],India,As  PMOIndia invites citizen participation in the fight against Corona Virus in India  I shall on remain indoors entirely on 22nd March for the  JanataCurfew — thinking of all our essential service providers working tirelessly during this trying phase  ,2020-03-19 16:00:00,
642,en,nsitharaman,58243368,True,1240633127791292421,"Watch PM Modi’s address to the nation on Corona Virus in less than an hour from now. 

https://t.co/0S5arUKhrM

via NaMo App",[],[],[],['https://t.co/0S5arUKhrM'],India,Watch PM Modi’s address to the nation on Corona Virus in less than an hour from now  https   t co 0S5arUKhrMvia NaMo App,2020-03-19 14:00:00,
643,en,nsitharaman,58243368,True,1239385633946103808,"Saddened on hearing Brigadier @gurmeetkanwal is no more. A scholar of strategic affairs, once associated with the @IDSAIndia. A thorough gentleman, with many rich experiences. Condolences to near and dear.",['xp'],[],"['gurmeetkanwal', 'IDSAIndia']",[],India,Saddened on hearing Brigadier  gurmeetkanwal is no more  A scholar of strategic affairs  once associated with the  IDSAIndia  A thorough gentleman  with many rich eeriences  Condolences to near and dear ,2020-03-16 03:00:00,
644,en,nsitharaman,58243368,True,1239156584560734208,"PM to Interact with SAARC leaders on 15th March 2020
https://t.co/rif3WND5yx

via NaMo App https://t.co/hxwupYA7iw",[],[],[],['https://t.co/rif3WND5yx'],India,PM to Interact with SAARC leaders on 15th March 2020https   t co rif3WND5yxvia NaMo App https   t co hxwupYA7iw,2020-03-15 12:00:00,
645,en,nsitharaman,58243368,True,1238899323640803328,"PM meets 24 member delegation from J&amp;K’s Apni Party
https://t.co/uaK2hbj3LY

via NaMo App https://t.co/0LJcfNloMP",[],[],[],['https://t.co/uaK2hbj3LY'],India,PM meets 24 member delegation from J amp K’s Apni Partyhttps   t co uaK2hbj3LYvia NaMo App https   t co 0LJcfNloMP,2020-03-14 19:00:00,
646,en,nsitharaman,58243368,True,1238899157244342273,"PM to Interact with SAARC leaders on 15th March 2020
https://t.co/rif3WND5yx

via NaMo App https://t.co/RZC7hHNajb",[],[],[],['https://t.co/rif3WND5yx'],India,PM to Interact with SAARC leaders on 15th March 2020https   t co rif3WND5yxvia NaMo App https   t co RZC7hHNajb,2020-03-14 19:00:00,
647,en,nsitharaman,58243368,True,1238637818181648384,Better prepared-ness. @PiyushGoyal @indianrailway__ @IndiaRailNews https://t.co/L4ReG2VOqt,[],[],"['PiyushGoyal', 'indianrailway__', 'IndiaRailNews']",['https://t.co/L4ReG2VOqt'],India,Better prepared ness   PiyushGoyal  indianrailway    IndiaRailNews https   t co L4ReG2VOqt,2020-03-14 01:00:00,
648,en,nsitharaman,58243368,True,1238513795640643584,"So, the @INCIndia says this in the Rajya Sabha, but supports the violent #CAAProtests. Congress’ appeasement politics knows no end. https://t.co/h7VYCy9zNn",[],['CAAProtests'],['INCIndia'],[],India,So  the  INCIndia says this in the Rajya Sabha  but supports the violent  CAAProtests  Congress’ appeasement politics knows no end  https   t co h7VYCy9zNn,2020-03-13 17:00:00,
649,en,nsitharaman,58243368,True,1236563596936536064,Watched a short film on #SwachhBharatMission  in the graceful presence of @rashtrapatibhvn. A crisply made story on the mass movement by women all over the country. Awareness among children too was well captured. @smritiirani @gssjodhpur #SheInspiresUs @NatGeo #WomensDay2020,[],"['SwachhBharatMission', 'SheInspiresUs', 'WomensDay2020']","['rashtrapatibhvn', 'smritiirani', 'gssjodhpur', 'NatGeo']",[],India,Watched a short film on  SwachhBharatMission  in the graceful presence of  rashtrapatibhvn  A crisply made story on the mass movement by women all over the country  Awareness among children too was well captured   smritiirani  gssjodhpur  SheInspiresUs  NatGeo  WomensDay2020,2020-03-08 08:00:00,
650,en,nsitharaman,58243368,True,1236557425991241728,Wishing @VasundharaBJP a very happy birthday. Your contribution to India’s polity and Rajasthan’s overall development is significant. My prayers for your long and healthy life.,[],[],['VasundharaBJP'],[],India,Wishing  VasundharaBJP a very happy birthday  Your contribution to India’s polity and Rajasthan’s overall development is significant  My prayers for your long and healthy life ,2020-03-08 08:00:00,
651,en,nsitharaman,58243368,True,1232890918077747201,"Wishing Hon. Chief Minister, @BSYBJP a long and healthy life, on his birthday. Self-made, hard working and well connected with people all across the state, @BSYBJP even in his earlier tenure, contributed to the development of Karnataka. Best wishes.",[],[],"['BSYBJP', 'BSYBJP']",[],India,Wishing Hon  Chief Minister   BSYBJP a long and healthy life  on his birthday  Self made  hard working and well connected with people all across the state   BSYBJP even in his earlier tenure  contributed to the development of Karnataka  Best wishes ,2020-02-27 05:00:00,
