,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
58,es,tatclouthier,33937794,True,1414576657374060552,Buena semana...,[],[],[],[],Mexico,Buena semana   ,2021-07-12 13:00:00
59,es,tatclouthier,33937794,True,1414248814467223555,Con gusto felicitamos en su día a l@s mineros. Gran trabajo y  compromiso. Un abrazo grande a cada un@.,[],[],[],[],Mexico,Con gusto felicitamos en su día a l s mineros  Gran trabajo y  compromiso  Un abrazo grande a cada un  ,2021-07-11 16:00:00
60,es,tatclouthier,33937794,True,1413490522346373123,Gran reto: https://t.co/uzKOw2r0fE,[],[],[],['https://t.co/uzKOw2r0fE'],Mexico,Gran reto  https   t co uzKOw2r0fE,2021-07-09 13:00:00
61,es,tatclouthier,33937794,True,1412764475141365763,"Hoy con alegría recibimos a @AmbassadorTai y @mary_ng, para celebrar, evaluar y crear agendas en favor del comercio entre la región a un año del  #TMEC. Gracias a los equipos y en especial al de la @SE_mx por su trabajo cotidiano y compromiso a favor del país.",[],['TMEC'],"['AmbassadorTai', 'mary_ng', 'SE_mx']",[],Mexico,Hoy con alegría recibimos a  AmbassadorTai y  mary ng  para celebrar  evaluar y crear agendas en favor del comercio entre la región a un año del   TMEC  Gracias a los equipos y en especial al de la  SE mx por su trabajo cotidiano y compromiso a favor del país ,2021-07-07 13:00:00
62,es,tatclouthier,33937794,True,1412540843941056512,"Gracias al compromiso de la empresa, del sindicato y el gran trabajo de los equipos  de la @STPS_mx, @SEGOB_mx y @SE_mx, logramos caminar a este gran acuerdo para una comunidad. https://t.co/SsG5aR515c",[],[],"['STPS_mx', 'SEGOB_mx', 'SE_mx']",[],Mexico,Gracias al compromiso de la empresa  del sindicato y el gran trabajo de los equipos  de la  STPS mx   SEGOB mx y  SE mx  logramos caminar a este gran acuerdo para una comunidad  https   t co SsG5aR515c,2021-07-06 23:00:00
63,es,tatclouthier,33937794,True,1412095595221823488,Hoy nos reunimos para agradecer y revisar los avances con Inglaterra vía nuestra querida @CorinRobertson. Revisamos avances de @Agenda2030MX vinculados a género y medio ambiente. https://t.co/jb8KjxDSvP,['xD'],[],"['CorinRobertson', 'Agenda2030MX']",[],Mexico,Hoy nos reunimos para agradecer y revisar los avances con Inglaterra vía nuestra querida  CorinRobertson  Revisamos avances de  Agenda2030MX vinculados a género y medio ambiente  https   t co jb8KjSvP,2021-07-05 17:00:00
64,es,tatclouthier,33937794,True,1411064060737724416,Te esperamos: https://t.co/hvi5KaNglm,[],[],[],[],Mexico,Te esperamos  https   t co hvi5KaNglm,2021-07-02 21:00:00
65,es,tatclouthier,33937794,True,1410616234425470992,"Hoy es un día muy especial para 🇲🇽: hace 3 años se decidió un cambio importante en democracia; y comercialmente, hace un año entró en vigor el #TMEC. Gracias a quienes trabajaron desde sus rincones para estos dos grandes pasos.",['🇲🇽'],['TMEC'],[],[],Mexico,Hoy es un día muy especial para   hace 3 años se decidió un cambio importante en democracia  y comercialmente  hace un año entró en vigor el  TMEC  Gracias a quienes trabajaron desde sus rincones para estos dos grandes pasos ,2021-07-01 15:00:00
66,es,tatclouthier,33937794,True,1410598489344512003,"El primer aniversario del #TMEC🇲🇽🇺🇸🇨🇦nos encuentra a los países miembros como vecinos, socios y aliados; trabajando en una integración económica y productiva para mejorar la calidad de vida de nuestros ciudadan@s. Mi colaboración en @ElFinanciero_Mx

https://t.co/eSlL5urCYO","['🇺🇸', '🇨🇦', '🇲🇽']",['TMEC'],['ElFinanciero_Mx'],['https://t.co/eSlL5urCYO'],Mexico,El primer aniversario del  TMECnos encuentra a los países miembros como vecinos  socios y aliados  trabajando en una integración económica y productiva para mejorar la calidad de vida de nuestros ciudadan s  Mi colaboración en  ElFinanciero Mxhttps   t co eSlL5urCYO,2021-07-01 14:00:00
67,es,tatclouthier,33937794,True,1410364265052217351,"Encantada de reunirme con @AmbassadorTai y @mary_ng, para conversar sobre el primer año de implementación del #TMEC; herramienta fundamental para fortalecer nuestra relación comercial y enfrentar los efectos económicos de la pandemia por COVID-19. Gracias a @TheWilsonCenter.",[],['TMEC'],"['AmbassadorTai', 'mary_ng', 'TheWilsonCenter']",[],Mexico,Encantada de reunirme con  AmbassadorTai y  mary ng  para conversar sobre el primer año de implementación del  TMEC  herramienta fundamental para fortalecer nuestra relación comercial y enfrentar los efectos económicos de la pandemia por COVID 19  Gracias a  TheWilsonCenter ,2021-06-30 22:00:00
