,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
22,es,1441099158090182658,1402368013404364804, Chivolabra Solo doy info por TG ,1441100718069334023,False, Chivolabra Solo doy info por TG ,2021-09-23T18:02:40.000Z,Mexico,@Chivolabra Solo doy info por TG.,[],[],['Chivolabra'],[],
23,es,1441099158090182658,1402368013404364804, Loli kawaiiuwu Hola  Me puedes dar informes,1441099400269369344,False, Loli kawaiiuwu Hola  Me puedes dar informes,2021-09-23T17:57:26.000Z,Mexico,@Loli_kawaiiuwu Hola. Me puedes dar informes,[],[],['Loli_kawaiiuwu'],[],
24,es,1441098599916400651,1360914526733017094, WomanInWorld   Kafiri14 Padres siguen bautizando a sus hijos para que no sea  el único de su clase sin bautizar y el qué dirán  ahora lo mismo con la vacuna ,1441103881484705797,False, WomanInWorld   Kafiri14 Padres siguen bautizando a sus hijos para que no sea  el único de su clase sin bautizar y el qué dirán  ahora lo mismo con la vacuna ,2021-09-23T18:15:14.000Z,Mexico,"@WomanInWorld_ @Kafiri14 Padres siguen bautizando a sus hijos para que no sea ""el único de su clase sin bautizar y el qué dirán"" ahora lo mismo con la vacuna.",[],[],"['WomanInWorld_', 'Kafiri14']",['https://t.co/ysaipRvl27'],
25,es,1441098599916400651,1360914526733017094, Kafiri14  normalmente  ,1441100643096137730,False, Kafiri14  normalmente  ,2021-09-23T18:02:22.000Z,Mexico,"@Kafiri14 ""normalmente"".🙃",['🙃'],[],['Kafiri14'],[],
26,es,1441098599916400651,1360914526733017094, WomanInWorld  Bueno  no te creas    ,1441100561093332998,False, WomanInWorld  Bueno  no te creas    ,2021-09-23T18:02:02.000Z,Mexico,"@WomanInWorld_ Bueno, no te creas... 😂😂",['😂'],[],['WomanInWorld_'],[],
27,es,1441098599916400651,1360914526733017094, Kafiri14 Ahí ahí   ,1441100118162219016,False, Kafiri14 Ahí ahí   ,2021-09-23T18:00:17.000Z,Mexico,@Kafiri14 Ahí ahí...😎,['😎'],[],['Kafiri14'],[],
28,es,1441098599916400651,1360914526733017094, Kafiri14 Con la diferencia de que  normalmente  la misa no produce reacciones autoinmunes ,1441100116564189187,False, Kafiri14 Con la diferencia de que  normalmente  la misa no produce reacciones autoinmunes ,2021-09-23T18:00:16.000Z,Mexico,"@Kafiri14 Con la diferencia de que, normalmente, la misa no produce reacciones autoinmunes.",[],[],['Kafiri14'],[],
29,es,1441098514390347778,1273017726450102272, OrchidBoyMx  soynicosastre Como mis hijas también quieren vacunarse me puedes orientar por favor  Hablé y me dijeron nosotros les avisamos y nada,1441100250660282370,False, OrchidBoyMx  soynicosastre Como mis hijas también quieren vacunarse me puedes orientar por favor  Hablé y me dijeron nosotros les avisamos y nada,2021-09-23T18:00:48.000Z,Mexico,@OrchidBoyMx @soynicosastre Como mis hijas también quieren vacunarse me puedes orientar por favor? Hablé y me dijeron nosotros les avisamos y nada,[],[],"['OrchidBoyMx', 'soynicosastre']",['https://t.co/L8kR0pYBgh'],
30,es,1441098189164056577,360291840, gianchanchan Está cabrón ,1441099121280970753,False, gianchanchan Está cabrón ,2021-09-23T17:56:19.000Z,Mexico,@gianchanchan Está cabrón.,[],[],['gianchanchan'],[],
31,es,1441096136651988998,1400893268,con 3ers dosis y así como en EEUU está dando una ayuda  económica a los chilenos   cada país está ocupado en sobrevivir mientras nm y g cohabitan   y los venezolanos en miseria sin ninguna ayuda económica de ninguno de ellos   eso es asqueroso Basta,1441096140498223132,False,con 3ers dosis y así como en EEUU está dando una ayuda  económica a los chilenos   cada país está ocupado en sobrevivir mientras nm y g cohabitan   y los venezolanos en miseria sin ninguna ayuda económica de ninguno de ellos   eso es asqueroso Basta,2021-09-23T17:44:28.000Z,Mexico,"con 3ers dosis y así como en EEUU está dando una ayuda  económica a los chilenos , cada país está ocupado en sobrevivir mientras nm y g cohabitan , y los venezolanos en miseria sin ninguna ayuda económica de ninguno de ellos , eso es asqueroso.Basta",[],[],[],['https://t.co/qRuwSa4aR9'],
