,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
1424,es,False,1441026612737105945,"Y yo que pensaba que para esta fecha ya estáis vacunado. 🤡🤡🤡
@GobCDMX",['🤡'],[],['GobCDMX'],[],Mexico,Y yo que pensaba que para esta fecha ya estáis vacunado   GobCDMX,2021-09-23 13:00:00
1425,es,False,1441026595880411136,"@Luis11018 @josejaviermtnez @OtroJorgePerez @Gemapinas @TeryTerrible El fanático es usted que se cree que tiene la razón, ezo se sabrá después que pase todo esto, no entiendo su molestia si usted está vacunado a que teme le vuelvo a preguntar los no vacunados deciden por criterio propio el cual debe ser respetado no le parece?",[],[],"['Luis11018', 'josejaviermtnez', 'OtroJorgePerez', 'Gemapinas', 'TeryTerrible']",[],Mexico, Luis11018  josejaviermtnez  OtroJorgePerez  Gemapinas  TeryTerrible El fanático es usted que se cree que tiene la razón  ezo se sabrá después que pase todo esto  no entiendo su molestia si usted está vacunado a que teme le vuelvo a preguntar los no vacunados deciden por criterio propio el cual debe ser respetado no le parece ,2021-09-23 13:00:00
1426,es,False,1441026583897202693,"@telecincoes Pero no nos toméis por tonto. SI LLEGA a estar vacunado  NO SE MUERE..?HASTA LOS MISMOS ""GUEVOS"".",[],[],['telecincoes'],[],Mexico, telecincoes Pero no nos toméis por tonto  SI LLEGA a estar vacunado  NO SE MUERE   HASTA LOS MISMOS  GUEVOS  ,2021-09-23 13:00:00
1427,es,False,1441026571062677512,"@carmensuisse @toni17lopez ¿Sabes que aunque el trabajador sanitario o residente este vacunado contagian lo mismo que uno?
La único que hace la vacuna es mitigar efectos adversos. No reduce transmisión.",[],[],"['carmensuisse', 'toni17lopez']",[],Mexico, carmensuisse  toni17lopez ¿Sabes que aunque el trabajador sanitario o residente este vacunado contagian lo mismo que uno La único que hace la vacuna es mitigar efectos adversos  No reduce transmisión ,2021-09-23 13:00:00
1428,es,False,1441026567036186626,@Populismomata no sabemos  no se habrán vacunado la primer ellos ???,[],[],['Populismomata'],[],Mexico, Populismomata no sabemos  no se habrán vacunado la primer ellos    ,2021-09-23 13:00:00
1429,es,False,1441026557519155212,"@jgabi983 @YeicoYT @ely_vox @CoradoJuanramon A ver. Si Steegman es un médico no es lo mismo vuestra opinión que la suya. Y no todas las opiniones son respetables.
Abascal es un trilero y no quiere que Vox pierda el voto pirado. Él estará vacunado (como toda la directiva del partido) pero la salud pública se la suda.",[],[],"['jgabi983', 'YeicoYT', 'ely_vox', 'CoradoJuanramon']",[],Mexico, jgabi983  YeicoYT  ely vox  CoradoJuanramon A ver  Si Steegman es un médico no es lo mismo vuestra opinión que la suya  Y no todas las opiniones son respetables Abascal es un trilero y no quiere que Vox pierda el voto pirado  Él estará vacunado  como toda la directiva del partido  pero la salud pública se la suda ,2021-09-23 13:00:00
1430,es,False,1441026553782149127,@Quixote1967 @Chetecilla25 @ferdeque @LorenzoLustral @FrayJosepho Pero si te has vacunado qué te importa? Para qué lo has hecho?,[],[],"['Quixote1967', 'Chetecilla25', 'ferdeque', 'LorenzoLustral', 'FrayJosepho']",[],Mexico, Quixote1967  Chetecilla25  ferdeque  LorenzoLustral  FrayJosepho Pero si te has vacunado qué te importa  Para qué lo has hecho ,2021-09-23 13:00:00
1431,es,False,1441026500124422145,"@Salamino100 @velardedaoiz2 Se va a acabar contagiando toda la clase igualmente... El virus es endémico, ninguna clase de confinamiento/mascarilla/restricción va a cambiar eso. Nos hemos vacunado y el contagio por covid sólo causa síntomas leves (o ni siquiera eso) en la abrumadora mayoría de la población.",[],[],"['Salamino100', 'velardedaoiz2']",[],Mexico, Salamino100  velardedaoiz2 Se va a acabar contagiando toda la clase igualmente    El virus es endémico  ninguna clase de confinamiento mascarilla restricción va a cambiar eso  Nos hemos vacunado y el contagio por covid sólo causa síntomas leves  o ni siquiera eso  en la abrumadora mayoría de la población ,2021-09-23 13:00:00
1432,es,False,1441026277910134787,"@nuriaalcant @Tusa78456 @CBalenzategui Cuántas mascaraillas acaban contaminando las calles, el mar etc? Hay que sumar los efectos positivos y restar los negativos. El que quiere ya está vacunado y puede seguir con la mascarilla si le hace sentir más seguro.

Educarles así? Vaya sociedad más enferma. https://t.co/zUGhb4DIJA",[],[],"['nuriaalcant', 'Tusa78456', 'CBalenzategui']",[],Mexico, nuriaalcant  Tusa78456  CBalenzategui Cuántas mascaraillas acaban contaminando las calles  el mar etc  Hay que sumar los efectos positivos y restar los negativos  El que quiere ya está vacunado y puede seguir con la mascarilla si le hace sentir más seguro Educarles así  Vaya sociedad más enferma  https   t co zUGhb4DIJA,2021-09-23 13:00:00
1433,es,False,1441026258310246403,"@Luis13104072 @juanisacevedo Por cierto, es verdad q si alguien vacunado se contagia antes de q pasen 14 días tras la inoculacion se contabiliza como NO vacunado?",[],[],"['Luis13104072', 'juanisacevedo']",[],Mexico, Luis13104072  juanisacevedo Por cierto  es verdad q si alguien vacunado se contagia antes de q pasen 14 días tras la inoculacion se contabiliza como NO vacunado ,2021-09-23 13:00:00
1434,es,False,1441026205940133889,@JosieMD @mariofitzm @carlavizzotti @alferdez Dudo que se hayan vacunado con la Sputnik V. Seguramente tengan la Pfizer.  De esta gente podemos esperar cualquier cosa,[],[],"['JosieMD', 'mariofitzm', 'carlavizzotti', 'alferdez']",[],Mexico, JosieMD  mariofitzm  carlavizzotti  alferdez Dudo que se hayan vacunado con la Sputnik V  Seguramente tengan la Pfizer   De esta gente podemos esperar cualquier cosa,2021-09-23 13:00:00
1435,es,False,1441026164059951110,"@ManuelGuzmnGam1 Tranquilo. Algo de diarrea y fiebre, como mucho. En 24-36 horas, nuevo y, lo que es más importante, vacunado.",[],[],['ManuelGuzmnGam1'],[],Mexico, ManuelGuzmnGam1 Tranquilo  Algo de diarrea y fiebre  como mucho  En 24 36 horas  nuevo y  lo que es más importante  vacunado ,2021-09-23 13:00:00
1436,es,False,1441026012070825989,@usembassyguate @MinSaludGuate Yo quiero por favor que de alguna forma le trasladen las gracias al pueblo de los EEUU de América por las vacunas donadas. He sido vacunado en formato completo con la donación de labs-moderna que fue dada por ustedes.,[],[],"['usembassyguate', 'MinSaludGuate']",[],Mexico, usembassyguate  MinSaludGuate Yo quiero por favor que de alguna forma le trasladen las gracias al pueblo de los EEUU de América por las vacunas donadas  He sido vacunado en formato completo con la donación de labs moderna que fue dada por ustedes ,2021-09-23 13:00:00
1437,es,False,1441025993955844098,"Ojo #Sinopharm si está incluida y aprobada por #EEUU para personas que se hayan vacunado con dicho producto puedan ingresar sin problemas. 

Para que se informe la desubicada de Jossmery Toledo y otros dizque influencers, y los que fueron en estampida a #Chincha desde #Lima https://t.co/b4GJpApCyI",[],"['Sinopharm', 'EEUU', 'Chincha', 'Lima']",[],[],Mexico,Ojo  Sinopharm si está incluida y aprobada por  EEUU para personas que se hayan vacunado con dicho producto puedan ingresar sin problemas  Para que se informe la desubicada de Jossmery Toledo y otros dizque influencers  y los que fueron en estampida a  Chincha desde  Lima https   t co b4GJpApCyI,2021-09-23 13:00:00
1438,es,False,1441025956139843589,"@afotoquimico @Chetecilla25 @ferdeque @LorenzoLustral @FrayJosepho Del gobierno nunca me creo nada.

Porqué tanto empeño en que se vacunen los que aún no se han vacunado? Si son apenas 2
300 mil en España.

Si estás vacunado, ya estás a salvo, a que esas ansias por vacunar a todo Dios, eh?

Y si, los vacunados también mueren de Covid.",[],[],"['afotoquimico', 'Chetecilla25', 'ferdeque', 'LorenzoLustral', 'FrayJosepho']",[],Mexico, afotoquimico  Chetecilla25  ferdeque  LorenzoLustral  FrayJosepho Del gobierno nunca me creo nada Porqué tanto empeño en que se vacunen los que aún no se han vacunado  Si son apenas 2300 mil en España Si estás vacunado  ya estás a salvo  a que esas ansias por vacunar a todo Dios  eh Y si  los vacunados también mueren de Covid ,2021-09-23 13:00:00
1439,es,False,1441025902834450439,@carmensuisse @toni17lopez Siento decirte que un vacunado también se lo puede transmitir. A estás alturas debería saberse.,[],[],"['carmensuisse', 'toni17lopez']",[],Mexico, carmensuisse  toni17lopez Siento decirte que un vacunado también se lo puede transmitir  A estás alturas debería saberse ,2021-09-23 13:00:00
1440,es,False,1441025866113429507,"@EmilioCabrera7 @carmensuisse ""La vacuna ha demostrado su efectividad"" 

Hay que ponerse tres, cuatro o cinco dosis. En Israel están planteando programas de vacunación cada seis meses. Aún así te contagias igual que un no vacunado y también contagias.

Super efectiva, sí.",[],[],"['EmilioCabrera7', 'carmensuisse']",[],Mexico, EmilioCabrera7  carmensuisse  La vacuna ha demostrado su efectividad  Hay que ponerse tres  cuatro o cinco dosis  En Israel están planteando programas de vacunación cada seis meses  Aún así te contagias igual que un no vacunado y también contagias Super efectiva  sí ,2021-09-23 13:00:00
1441,es,False,1441025781698793475,@miguelgrados081 @reflexiva0601 @mikedegree2020 @raul_olaechea @MartinVizcarraC Ese rkzmre debio cerrar las fronteras cuando se le sugirió por enero  y debió priorizar centros de abastecimiento de oxígeno y no gastarse la plata enReactiva q beneficio a grupos como el Comercio. pa rematar nos dejó sin vacunas pero él ya se había vacunado.tremendo traidor Gncd,[],[],"['miguelgrados081', 'reflexiva0601', 'mikedegree2020', 'raul_olaechea', 'MartinVizcarraC']",[],Mexico, miguelgrados081  reflexiva0601  mikedegree2020  raul olaechea  MartinVizcarraC Ese rkzmre debio cerrar las fronteras cuando se le sugirió por enero  y debió priorizar centros de abastecimiento de oxígeno y no gastarse la plata enReactiva q beneficio a grupos como el Comercio  pa rematar nos dejó sin vacunas pero él ya se había vacunado tremendo traidor Gncd,2021-09-23 13:00:00
